Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Singapore,SGP,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,26100875.47,26852214.82,29661570.63,29824905.27,29792238.34,29922906.05,35868286.95,37697634.91,43479681.17,46681040.11,49261727.43,58506468.05,60215688.2,84515555.56,104989012.8,121424761,129296166.7,131819653.6,125194720,144019349.2,179573254.9,207407061.5,216074217.8,209579439.3,211310932.3,176456800,133266669.7,115183246.1,105792972.5,108427748,116905091.5,113690303.9,102885205.6,104715930.2,127602461.7,127204741.1,144468085.1,133081896.6,95482791.59,95988200.59,88283062.65,73784673.77,65564615.21,59579841.58,63897763.58,70175438.6,72440052.87,77367128.92,80005654.11,78789962.19,86835350.2,95325170.93,96423141.55,103412451.1,115697261.5,103433226.7,101773434.7,
Singapore,SGP,Trade (% of GDP),NE.TRD.GNFS.ZS,339.4481799,299.5298543,286.7692429,297.0083339,255.1518696,257.6621286,253.8988911,236.0533263,256.9240997,273.8377931,271.2117086,259.4389339,229.1831373,245.8921713,314.2515035,283.5846445,305.9305821,327.0357051,334.6621869,375.1026684,411.0352854,399.8744427,372.6621882,333.3125652,313.3367704,304.4346571,295.1035754,325.3742102,360.3534095,348.0501238,344.2589633,323.8290365,311.1561766,313.2037616,315.8438949,345.7442206,335.9331653,325.3933642,313.8848706,337.5439573,366.0708871,352.7492263,354.2920818,382.839751,406.4821776,422.648368,430.3916367,398.7457687,441.6038067,360.9320798,373.4445316,379.5938255,370.9601542,365.9648759,362.3002517,329.9441113,318.4195652,
Singapore,SGP,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-13.66102481,-14.56169594,-10.4066134,-14.5808106,-10.86662524,-11.07236269,-7.225467986,-7.352164731,-5.483345941,-9.451237521,-19.01633764,-20.38087813,-15.5840243,-9.061769038,-15.03545325,-9.327651515,-6.939121045,-1.466001248,-3.725844192,-5.657172597,-6.926003542,-3.413775717,-1.832804432,0.584398685,-0.195434272,0.300069322,2.63791082,2.971265315,9.573989603,11.03383618,10.05073234,13.20198938,12.1335455,9.878201236,16.15111431,16.69905672,16.21151584,14.41964451,21.30503073,16.82852433,12.29160072,16.20962393,17.64983153,27.51044701,26.36057233,29.80596396,29.82102327,30.78155265,20.78517423,23.40411923,26.05038263,26.98308664,23.41441182,22.36243949,24.56416058,25.92065212,25.87761921,
Singapore,SGP,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,,,,,,,,,,,,,,,,-361900000,-101400000,741400000,437700000,863200000,1283800000,2216500000,1930700000,2267800000,2491800000,2753100000,4037300000,4987000000,8343100000,9262100000,9163100000,11293400000,11716400000,12076400000,17213500000,20409400000,20876600000,20745000000,29456500000,29435600000,20672300000,28401700000,34354200000,50766900000,51180100000,61215000000,68065900000,79119400000,56312500000,67595600000,85163400000,96804700000,88697200000,94885000000,,,,
Singapore,SGP,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,-294600000,-340700000,-263100000,-409400000,-297300000,-330200000,-242400000,-278500000,-239200000,-480000000,-1117400000,-1411600000,-1293100000,-941400000,-1927500000,-1280500000,-1041000000,-239700000,-683100000,-1195700000,-1791300000,-1035900000,-622600000,222300000,-81500000,122500000,1077700000,1352000000,5108700000,6755400000,7086500000,10371100000,10309000000,9679600000,18200400000,20802900000,22036200000,21445400000,30560000000,24611700000,20307900000,25931200000,29056900000,46491500000,50876300000,63210700000,70030200000,83494900000,56531600000,65498300000,83976300000,93536600000,84611700000,84648900000,95910200000,1.05781E+11,1.06169E+11,
Singapore,SGP,External balance on goods and services (current US$),NE.RSB.GNFS.CD,-96236769.89,-111296223.7,-85946687.57,-133738403.2,-97118776.95,-107866196.3,-79184633.48,-90977394.49,-78139291.78,-156801254.4,-365020253.5,-461126355.7,-423869931.5,-334720000,-784365589.6,-525462678,-438999704.8,-97013113.16,-280027875.7,-525813544.4,-823737698.9,-483794134.1,-294693993.5,103878504.7,-38570752.48,57428156.2,489841370.8,620924037.8,2425783476,3356887299,3633543557,6003531114,6328422345,5990592895,11915935577,14676802596,15628510638,14443292026,18260038241,14520176991,11779524362,14472958643,16227465654,26685512570,30100757307,37978070175,44074642835,55401035101,39954484416,45031488484,61588778878,74365240897,67705609346,67648765284,75692684082,76943046261,76850235252,
Singapore,SGP,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,176.5546024,157.0457751,148.5879282,155.7945723,133.0092474,134.3672457,130.5621796,121.7027455,131.2037228,141.6445153,145.1140231,139.909906,122.3835808,127.4769702,164.6434784,146.456148,156.4348516,164.2508532,169.1940155,190.3799205,208.9806445,201.6441092,187.2474963,166.3640833,156.7661023,152.0672939,146.2328323,161.2014724,175.3897099,168.5081438,167.1041155,155.3135235,149.5113155,151.6627802,149.8463903,164.5225819,159.8608247,155.4868598,146.2899199,160.3577165,176.8896432,168.2698012,168.3211251,177.664652,190.0608026,196.421202,200.2853067,183.982108,210.4093163,168.7639803,173.6970745,176.3053694,173.7728712,171.8012182,168.8680456,152.0117296,146.270973,
Singapore,SGP,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,5785300000,5583200000,5708300000,6659100000,5444600000,6028000000,6876800000,7196800000,9462000000,11413300000,12909300000,14498200000,15121800000,17415100000,19967800000,18791600000,20559400000,22524900000,25464700000,31132500000,37766400000,41495300000,44038200000,46202000000,49937400000,47934700000,53165900000,60251500000,76352800000,83671700000,95783700000,1.02664E+11,1.10467E+11,1.31009E+11,1.52607E+11,1.87125E+11,2.06579E+11,2.30225E+11,2.10473E+11,2.2928E+11,2.75416E+11,2.57186E+11,2.72638E+11,2.99849E+11,3.66391E+11,4.08521E+11,4.54051E+11,4.87889E+11,5.38288E+11,4.81456E+11,5.59932E+11,5.87681E+11,6.02361E+11,6.38022E+11,6.57148E+11,6.76168E+11,6.78163E+11,
Singapore,SGP,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,-3.49333656,2.240650523,16.65644763,-18.23820036,10.71520406,14.08095554,4.653327129,31.47510004,20.62248996,13.10751492,12.30818092,4.3012236,15.16552262,14.65796923,-5.890483679,9.407394793,9.560103894,13.0513343,22.257478,21.30860034,9.87359134,6.128163913,4.913461495,8.084931388,-4.010421047,10.91317981,13.32733952,26.72348406,9.585634057,14.47562318,7.182641723,7.600753919,18.59628286,16.48530563,22.61919038,10.39620019,11.44651683,-8.579386001,8.935674471,20.12182463,-6.61897393,6.008178514,9.980365928,22.19203291,11.49855987,11.14511183,7.452446411,10.33005882,-10.55789837,16.29965847,4.955799974,2.498022311,5.920201049,2.997622497,2.894402142,0.295059677,
Singapore,SGP,Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,4242977631,4094756142,4186505317,4883828383,3993105977,4420975431,5043491016,5278181151,6939493949,8370590392,9467766777,10633076641,11090429043,12772350568,14644517785,13781884855,15078401173,16519911991,18675980931,22832783278,27698129813,30432929960,32297909791,33884855152,36624422442,35155628896,38992225889,44188852219,55997653099,61365383205,70248404840,75294096076,81017015035,96083168317,1.11923E+11,1.37239E+11,1.51506E+11,1.68849E+11,1.54362E+11,1.68156E+11,2.01992E+11,1.88622E+11,1.99955E+11,2.19911E+11,2.68714E+11,2.99612E+11,3.33004E+11,3.57821E+11,3.94784E+11,3.53103E+11,4.10658E+11,4.31009E+11,4.41776E+11,4.6793E+11,4.81957E+11,4.95906E+11,4.9737E+11,
